,Date,State,Unemployment Rate (S),1-Month Net Change,1-Month % Change
343,2019-02-01,Maine,3.2,0.0,0.0
344,2019-03-01,Maine,3.1,-0.1,-3.1
345,2019-04-01,Maine,3.1,0.0,0.0
346,2019-05-01,Maine,3.0,-0.1,-3.2
347,2019-06-01,Maine,2.9,-0.1,-3.3
348,2019-07-01,Maine,2.9,0.0,0.0
349,2019-08-01,Maine,2.9,0.0,0.0
350,2019-09-01,Maine,2.9,0.0,0.0
351,2019-10-01,Maine,3.0,0.1,3.4
352,2019-11-01,Maine,3.0,0.0,0.0
353,2019-12-01,Maine,3.0,0.0,0.0
354,2020-01-01,Maine,3.1,0.1,3.3
355,2020-02-01,Maine,3.2,0.1,3.2
356,2020-03-01,Maine,3.0,-0.2,-6.3
357,2020-04-01,Maine,10.4,7.4,246.7
358,2020-05-01,Maine,9.4,-1.0,-9.6
359,2020-06-01,Maine,6.6,-2.8,-29.8
360,2019-01-01,Maryland,3.8,0.0,0.0
361,2019-02-01,Maryland,3.7,-0.1,-2.6
362,2019-03-01,Maryland,3.7,0.0,0.0
363,2019-04-01,Maryland,3.7,0.0,0.0
364,2019-05-01,Maryland,3.7,0.0,0.0
365,2019-06-01,Maryland,3.6,-0.1,-2.7
366,2019-07-01,Maryland,3.6,0.0,0.0
367,2019-08-01,Maryland,3.6,0.0,0.0
368,2019-09-01,Maryland,3.5,-0.1,-2.8
369,2019-10-01,Maryland,3.4,-0.1,-2.9
370,2019-11-01,Maryland,3.4,0.0,0.0
371,2019-12-01,Maryland,3.4,0.0,0.0
372,2020-01-01,Maryland,3.3,-0.1,-2.9
373,2020-02-01,Maryland,3.3,0.0,0.0
374,2020-03-01,Maryland,3.3,0.0,0.0
375,2020-04-01,Maryland,10.1,6.8,206.1
376,2020-05-01,Maryland,10.0,-0.1,-1.0
377,2020-06-01,Maryland,8.0,-2.0,-20.0
378,2019-01-01,Massachusetts,3.1,0.0,0.0
379,2019-02-01,Massachusetts,3.1,0.0,0.0
380,2019-03-01,Massachusetts,3.0,-0.1,-3.2
381,2019-04-01,Massachusetts,3.0,0.0,0.0
382,2019-05-01,Massachusetts,2.9,-0.1,-3.3
383,2019-06-01,Massachusetts,2.9,0.0,0.0
